numero,fecha_dl,nop,litros,rcs,mc
3234,20/06/09,2,30,56,1
3237,05/07/08,1,"14,6",222,1
3242,19/07/08,2,"20,8",4,1
3245,10/02/10,3,"12,6",188,1
3247,07/05/09,2,24,71,1
3249,20/05/09,2,"28,2",91,1
3250,13/04/08,1,,,0
3253,26/06/09,2,"24,4",132,1
3257,09/05/09,2,"25,2",192,1
3258,03/04/08,1,"22,6",118,1
3259,29/04/08,1,13,90,1
3269,01/10/09,2,"31,4",431,1
3270,05/09/09,2,"19,4",15,1
3272,11/11/09,2,"12,6",67,1
3276,17/03/10,3,"32,6",210,1
3280,19/04/09,2,"30,4",12,1
3284,16/09/09,2,"33,2",78,1
3285,10/12/08,1,"20,4",1205,1
3297,09/08/09,2,"25,8",14,1
3299,30/11/09,2,"37,2",412,1
3301,23/09/08,1,10,62,1
3307,21/11/09,2,29,527,1
3311,19/09/09,1,"32,8",3350,1
3313,26/04/09,1,"25,6",128,1
3314,30/12/08,1,25,56,1
3321,02/09/09,2,36,128,1
3322,19/12/09,2,,,0
3325,14/12/09,2,"36,2",462,1
3329,17/10/09,2,"36,8",514,1
3333,05/09/09,2,33,7,1
3337,23/09/08,1,"20,6",56,1
3338,05/04/10,2,"16,2",1623,1
3339,03/12/08,1,"21,6",941,1
3340,18/12/09,2,28,4,1
3341,05/12/09,2,"23,6",121,1
3343,25/09/08,1,"21,4",298,1
3344,17/10/08,1,"18,4",133,1
3347,28/09/08,1,"24,4",2,1
3348,02/12/08,1,"19,6",14,1
3350,17/02/10,2,"9,4",212,1
3351,15/09/08,1,15,123,1
3358,02/10/09,2,32,4,1
3360,13/11/09,2,24,,0
3361,19/07/09,1,"27,2",116,1
3364,21/09/08,1,"23,8",223,1
3365,03/09/08,1,"24,2",135,1
3366,20/11/09,1,"20,2",10,1
3367,12/12/09,2,"25,6",164,1
3368,28/09/08,1,"26,2",185,1
3369,27/03/09,1,"23,6",10,1
3372,26/11/09,2,"32,8",61,1
3373,20/04/09,1,24,102,1
3374,06/05/09,1,17,126,1
3375,28/10/09,2,"17,8",11,1
3377,21/03/10,2,"20,8",154,1
3379,08/11/08,1,"33,6",92,1
3380,27/03/09,1,"23,2",6,1
3381,14/11/09,2,"29,4",3,1
3382,27/03/09,1,"15,6",89,1
3383,16/03/09,1,15,12,1
3384,06/02/10,2,23,723,1
3385,23/03/09,1,"20,6",9,1
3386,16/11/08,1,"11,2",485,1
3387,09/12/09,1,"10,4",607,1
3388,18/03/10,2,"15,4",457,1
3392,26/03/09,1,"22,6",600,1
3393,11/03/09,1,"29,6",110,1
3397,08/05/09,1,"25,2",5,1
3398,02/07/09,1,"32,4",73,1
3400,31/03/09,1,"23,4",54,1
3401,14/03/09,1,"18,2",312,1
3403,13/03/09,1,"29,8",6,1
3408,16/03/09,1,23,2,1
3413,31/03/10,2,"21,4",4,1
3417,27/03/09,1,"25,4",128,1
3419,18/03/09,1,22,4,1
3420,05/04/10,2,"25,6",52,1
3421,22/03/09,1,"29,4",285,1
3425,17/10/08,1,"23,2",3,1
3427,27/03/09,1,"22,2",52,1
3428,21/03/10,2,"24,8",157,1
3430,29/03/09,1,26,182,1
3435,03/04/09,1,"18,4",1155,1
3438,07/04/09,1,"23,8",11,1
3443,22/03/09,1,"30,8",292,1
3444,12/04/09,1,"26,4",51,1
3445,21/03/09,1,"23,8",8,1
3448,29/05/09,1,20,9,1
3449,27/08/09,1,36,281,1
3450,09/04/09,1,"27,8",83,1
3452,26/08/09,1,"32,6",417,1
3455,19/03/09,1,"19,8",1,1
3458,08/04/09,1,23,102,1
3460,02/04/09,1,"24,2",375,1
3461,14/04/09,1,"17,4",1927,1
3463,16/03/10,2,18,246,1
3466,03/04/10,2,"29,2",4,1
3467,10/07/09,1,24,8,1
3468,24/05/09,1,30,78,1
3472,19/09/09,1,"21,2",191,1
3474,17/10/09,1,26,8,1
3476,21/07/09,1,"25,2",89,1
3477,16/03/09,1,22,25,1
3479,27/03/09,1,"10,6",102,1
3483,08/08/09,1,"24,4",178,1
3484,30/04/09,1,"24,8",49,1
3490,30/03/10,2,"25,6",53,1
3493,16/04/09,1,"23,6",58,1
3494,14/10/09,1,"30,6",99,1
3495,02/04/09,1,"21,2",6,1
3497,03/10/09,1,"30,4",3,1
3498,23/03/09,1,"18,6",6,1
3500,17/03/09,1,"35,4",7,1
3501,24/09/09,1,30,570,1
3502,04/04/09,1,26,,0
3505,02/07/09,1,"24,8",55,1
3508,27/03/09,1,"29,4",3,1
3510,14/02/10,2,"20,8",531,1
3511,21/07/09,1,"24,6",225,1
3512,29/03/09,1,"25,2",49,1
3514,20/03/10,2,"22,8",3,1
3516,09/04/09,1,"26,2",9,1
3517,07/04/09,1,"27,4",3,1
3519,05/09/09,1,"33,8",166,1
3520,23/06/09,1,"29,2",217,1
3521,12/09/09,1,"33,8",16,1
3522,02/04/09,1,22,6,1
3525,20/07/09,1,"26,8",83,1
3527,10/07/09,1,"26,4",63,1
3528,12/07/09,1,21,6,1
3529,18/07/09,1,"20,6",6,1
3530,28/09/09,1,17,205,1
3537,26/11/09,1,"29,4",109,1
3538,26/08/09,1,"25,6",121,1
3539,06/04/09,1,"26,4",49,1
3542,18/08/09,1,"26,8",253,1
3544,26/08/09,1,"23,2",76,1
3545,26/08/09,1,"22,8",57,1
3548,28/09/09,1,"25,6",416,1
3549,19/06/09,1,"12,6",55,1
3550,01/08/09,1,"19,4",259,1
3551,14/11/09,1,28,108,1
3554,24/07/09,1,18,559,1
3555,04/09/2009,1,"24,6",13,1
3556,21/07/2009,1,21,,0
3559,17/08/09,1,,,0
3589,04/10/09,1,"27,6",475,1
3649,02/10/09,1,,,0
A2439,25/09/2009,4,"31,2",282,1
a2441,14/02/2007,5,"16,8",1278,1
A2446,24/04/09,3,"33,8",11,1
A2450,10/12/2009,4,"23,2",10,1
