numero,fecha_dl,nop,litros,rcs,mc
3344,17/10/08,1,"18,6",885,1
3347,28/09/08,1,23,911,1
3348,02/12/08,1,"23,2",37,1
3351,15/09/08,1,"14,4",193,1
3352,01/01/10,2,"23,2",105,1
3358,02/10/09,2,"35,4",811,1
3360,13/11/09,2,"22,8",884,1
3361,19/07/09,1,"21,6",86,1
3364,21/09/08,1,23,1585,1
3365,03/09/08,1,"22,4",854,1
3366,20/11/09,1,"19,6",909,1
3367,12/12/09,2,19,852,1
3368,28/09/08,1,"21,2",131,1
3369,27/03/09,1,"23,2",462,1
3372,26/11/09,2,27,20,1
3373,20/04/09,1,"21,8",453,1
3374,06/05/09,1,"21,4",37,1
3375,28/10/09,2,17,913,1
3377,21/03/10,2,"21,4",927,1
3379,08/11/08,1,"33,8",239,1
3380,27/03/09,1,"22,2",567,1
3381,14/11/09,2,"25,6",902,1
3382,27/03/09,1,15,50,1
3385,23/03/09,1,"20,8",760,1
3387,09/12/09,1,"18,2",884,1
3392,26/03/09,1,"19,8",842,1
3393,11/03/09,1,"20,8",341,1
3397,08/05/09,1,"21,6",1636,1
3398,02/07/09,1,"34,6",753,1
3400,31/03/09,1,"22,2",423,1
3401,14/03/09,1,"18,6",869,1
3403,13/03/09,1,"21,6",850,1
3408,16/03/09,1,"21,6",907,1
3413,31/03/10,2,"20,4",945,1
3417,27/03/09,1,"23,6",854,1
3419,18/03/09,1,"20,8",92,1
3420,05/04/10,2,"21,8",902,1
3421,22/03/09,1,"23,2",266,1
3425,17/10/08,1,"20,6",671,1
3427,27/03/09,1,21,857,1
3434,05/01/10,1,"21,8",142,1
3435,03/04/09,1,"18,6",1410,1
3438,07/04/09,1,"23,2",917,1
3443,22/03/09,1,"31,2",836,1
3444,12/04/09,1,"26,4",229,1
3445,21/03/09,1,"21,2",962,1
3448,29/05/09,1,20,818,1
3449,27/08/09,1,"36,6",42,1
3450,09/04/09,1,27,879,1
3452,26/08/09,1,34,237,1
3455,19/03/09,1,"19,8",305,1
3458,08/04/09,1,"21,8",883,1
3460,02/04/09,1,"28,8",909,1
3461,14/04/09,1,"17,2",885,1
3466,03/04/10,2,23,790,1
3467,10/07/09,1,"21,6",146,1
3468,24/05/09,1,30,862,1
3472,19/09/09,1,"22,2",916,1
3474,17/10/09,1,"25,4",142,1
3476,21/07/09,1,"22,4",193,1
3479,27/03/09,1,"16,8",852,1
3483,08/08/09,1,"24,4",214,1
3484,30/04/09,1,"26,8",169,1
3490,30/03/10,2,"26,2",982,1
3493,16/04/09,1,"20,8",949,1
3494,14/10/09,1,"25,2",841,1
3497,03/10/09,1,30,142,1
